,企業名,キャッチコピー,ステータス,初年度年収
0,大新東株式会社 | ◎普通免許があれば未経験OK/土日休み/原則転勤なし,【役員運転手】★40～60代活躍中 ★年休110日以上 ★全国募集 正社員,正社員,
1,株式会社ＧＲＡＣＥ | 【錬金堂】人生を変えたいあなたのリスタートを全力で応援します,毎日がトレジャーハント！◆リユース店の【買取・販売スタッフ】 正社員,正社員,300万円～800万円
2,有限会社竹内工業 | ★選べる働き方「週休2日制」or「完全週休2日制」を選択OK,【 総合職(測量補助/管理スタッフ/メンテナンス) 】★未経験OK！ 正社員,正社員,300万円～650万円
3,株式会社スウェーデンハウス | ハウスメーカー 注文住宅ランキングお客様満足度8年連続No.1*,＼全国募集！／輸入注文住宅の【提案営業】※未経験歓迎 正社員,正社員,400万円～550万円
4,株式会社NEXT STORIES | ★入社祝金10万円★平均年収720万円※大阪府緊急雇用対策に賛同,【アフターフォロー営業】★月給30万～&完休2日★WEB面接OK 正社員,正社員,600万円～700万円
5,KeePer技研株式会社 | 東証プライム｜平均年齢27.3歳！活気ある職場も魅力|冷房完備！,お客様を笑顔に！【KeePerコーティング技術師】★全国募集 正社員,正社員,380万円～500万円
6,新規建設株式会社 | 転勤なし！和風建築にも強い地場企業！未経験者も月給22万円～♪,◎週休2日 × 賞与充実 × 退職金あり！【営業】★未経験OK♪ 正社員,正社員,300万円～450万円
7,株式会社システム | 月給28万円～★動物園やららぽーと等も担当★家族/資格手当充実,＼社会インフラに貢献できる／空調や給排水設備の【施工管理】 正社員,正社員,400万円～700万円
8,有限会社小山塗装 | 《 施工実界トップクラス！建物の価値・景観デザインにも貢献 》,未経験歓迎！【塗装施工の工程管理】★残業少／完全週休2日制 正社員,正社員,
9,山崎電設工業有限会社 | 《設立47年！中電工と安定取引を続ける地場の優良企業》,地域の生活を支える【重機オペレーター】年齢不問！転勤なし 正社員,正社員,
