,企業名,キャッチコピー,ステータス,初年度年収
0,ゼネリックソリューション株式会社 | 【100％自社内開発】第二新卒・ポテンシャル採用も可能！,【ソフトウェアエンジニア】開発経験あればOK/年収800万円も可！ 正社員,正社員,400万円～800万円
1,富国生命保険相互会社 | 経営安定、待遇・福利厚生充実の企業が中途採用を実施！,未経験OK！【営業総合職（営業所長候補）】年休121日／賞与4カ月 正社員,正社員,350万円～650万円
2,株式会社マイスターエンジニアリング | ゼロから先端産業のエンジニアへ / 地域限定正社員募集！,経験ゼロからでOK【エンジニア地域限定総合職】年間休日121日 正社員,正社員,
3,ジンマー・バイオメット合同会社 | 専門性の高い医療知識が身に付く／自宅が拠点の直行直帰スタイル,世界トップクラスのシェアを誇る【医療機器営業】教育研修あり 正社員,正社員,370万円～670万円
4,アプライド マテリアルズ ジャパン株式会社 | 売上世界No.1の半導体製造装置メーカーの日本法人,全国募集【エンジニア・技術職】未経験歓迎◆高卒以上◆35歳以下 正社員,正社員,
5,ブリヂストンタイヤソリューションジャパン株式会社 | 成長×安定／「個」の成長にもフォーカスした職場です！,【企画営業】世界トップシェアの商材を扱い営業として活躍！ 正社員,正社員,300万円～450万円
6,中京広告株式会社 | 《2007年設立＊成長中企業》いろんな事にチャレンジできる環境,資格取得もOK！スキルを磨ける【WEBマーケター】★年休120日以上 正社員,正社員,
7,株式会社NEXT STORIES | ★入社祝金10万円★平均年収720万円※大阪府緊急雇用対策に賛同,【アフターフォロー営業】★月給30万～&完休2日★WEB面接OK 正社員,正社員,600万円～700万円
8,住友不動産株式会社 | 東証プライム上場◆平均残業時間18時間◆転勤なし◆完全週休二日,第二新卒歓迎◆最高年収実績1100万円【新築分譲マンション営業】 正社員,正社員,400万円～500万円
9,株式会社アヴァンザ | 【研修制度充実】賞与年2回／在宅9割／離職率1.3%／自社サービス,未経験歓迎★年休125日／残業15H以内／年収350万円【SE・PG】 正社員,正社員,350万円
10,いなば食品株式会社 | 拡大期でのキャリア採用★賞与平均7ヶ月実績など充実の待遇あり,ちゅ～る・ライトツナなどの【企画営業】※20代活躍中 正社員,正社員,420万円～600万円
11,株式会社アークライン | ★年休120日以上★残業少なめ★完休2日（土日）★リモート強化中,充実の教育体制【開発エンジニア】★3ヶ月以上の自社研修あり♪ 正社員,正社員,300万円～400万円
12,株式会社ウェディングボックス | 【ふりそでMODE】感動幸福クリエイターによる幸せ創りのお手伝い,お客様の大切な日を彩る【振袖コーディネーター】★第二新卒歓迎 正社員,正社員,300万円～500万円
13,全国漁業協同組合連合会 | 【JF全漁連】コロナ対応テレワーク導入／賞与実績年5.16か月,"【企画営業】☆魚食の魅力を伝え、水産業の""これから""に貢献！ 正社員",正社員,400万円～500万円
14,株式会社テクノプロ | テクノプロ・R&D社／東証プライム市場 テクノプロ・グループ,【研究開発職(化学・バイオ分野)】第二新卒・ポスドク歓迎！ 正社員,正社員,350万円～600万円
15,ハラダ協同サービス株式会社 | 【JAのパートナー企業】手当充実/引っ越し費用全額負担,未経験歓迎!!【総合職(企画・運営)】★月9~11休★残業1日2ｈ以内 正社員,正社員,300万円～500万円
16,株式会社みなと銀行 | 【株式会社関西みらいフィナンシャルグループ】,【営業職(法人・リテール)】☆営業経験歓迎 ☆20・30代活躍中 正社員,正社員,300万円～600万円
17,株式会社野村総合研究所 | （NRI） 東証プライム上場★海外研修など豊富な研修制度あり,【総合職】WEBアプリ/システムコンサルタント/札幌募集 正社員,正社員,
18,中日本ハイウェイ・エンジニアリング名古屋株式会社 | NEXCO中日本グループ／年間休日130日以上／賞与6ヶ月分支給,高速道路の【技術系総合職(土木、建築、電気・通信、機械)】 正社員,正社員,300万円～600万円
19,株式会社ワールドスポーツ | 釣具のキャスティング★残業代全支給★手当充実★年休118日以上,"""好きを仕事に""【販売スタッフ】35歳以下の未経験＜積極採用＞ 正社員",正社員,
20,東京計器株式会社 | 【東証プライム上場】船舶湾港機器事業で業界をリードし続ける,★世界トップクラスシェア★船用機器【制御設計】年間休日126日 正社員,正社員,
21,株式会社ファーストスクエア | 全国トップクラス業績！だから賞与年2回★スピードキャリアUP！,【総合職(PR・企画・セールスプロモーションなど)】若手活躍中！ 正社員,正社員,350万円～500万円
22,"株式会社四国シジシー | 総年商4兆9,509億円を誇る「CGCグループ」/残業少なめ/転勤なし",地域の「食」を支える【営業企画】※土日休み ※転勤なし 正社員,正社員,
23,羽田空港サービス株式会社 | ANAのパートナー企業/引越費用補助＆住宅手当有/シャワー室完備,【グランドハンドリング】★業務領域拡大中★プライベートも充実 正社員,正社員,
