,企業名,キャッチコピー,ステータス,初年度年収
0,KeePer技研株式会社 | 東証プライム｜平均年齢27.3歳！活気ある職場も魅力|冷房完備！,お客様を笑顔に！【KeePerコーティング技術師】★全国募集 正社員,正社員,380万円～500万円
1,インターギアソリューション株式会社 | ★年収1億円超えのプロ野球選手営業が3名在籍(社長の給与は6位),【求人広告営業】◆月額報酬最大粗利82%◆アポ提供＜全国採用＞ 業務委託,業務委託,600万円～1500万円
2,株式会社ベリサーブ | 東京限定募集★平均有給取得11.3日/賞与5.0カ月分(2021年度実績),【品質保証コンサルタント】※自動車・車載機器★年休124日 正社員,正社員,450万円～1000万円
3,株式会社PGSホーム | 入社祝金最大138万｜残業ほぼなし｜転勤＆休日出勤なし,【アポインター営業】リサーチャー(市場調査)★月給40万～*2カ月 正社員,正社員,400万円～1000万円
4,DSP株式会社 | 《業績好調》☆服装/髪型/ネイル自由☆産休育休実績あり,【事務系総合職】《年齢不問》☆原則定時退社☆完全週休2日 正社員,正社員,250万円～400万円
5,大東建託株式会社 | 【プライム市場】全国募集/原則転勤なし/Web説明会実施,"【営業】年収1,000万円可能！<経験者募集/フレックスタイム制> 正社員",正社員,400万円～1000万円
6,株式会社アイエスエフネット | 微経験(入社時)から年収276万UP実績★受賞歴45個★有給消化81％,在宅勤務OK【ITエンジニア】平均残業7.8h★経験者採用／高卒以上 正社員,正社員,360万円～1000万円
7,株式会社SHIFT | 上場企業／毎年約150%の売上高成長率を継続／年平均昇給率10.4%,【ITプロジェクトマネージャー／エンジニア】基本リモートワーク 正社員,正社員,420万円～1200万円
8,アウトソーシンググループ合同募集 | ★東証プライム上場グループ／豪華版スローライフを実現♪,無料寮あり【岐阜車体工業の車製造スタッフ】★各務原市(株)PEO 正社員,正社員,340万円～360万円
9,DSP株式会社 | 年休120日以上可/大阪府緊急雇用対策に賛同/産休育休取得実績有,映画/音楽など人気番組の【反響営業】完全週休2日★高卒以上 正社員,正社員,400万円～1000万円
10,株式会社Candee | Twitter Japanアライアンスパートナー★「好き」を仕事に♪,SNS・LIVE配信・WebCMなどの【広告プランナー】★月給33万円～ 正社員,正社員,400万円～1000万円
11,株式会社リクルートスタッフィング | 大手&有名企業等で理想の働き方を★在宅ワーク実施中/土日祝休み,女性活躍中！【広報・PR業務のアシスタント】★残業少＆休日充実 正社員,正社員,250万円～350万円
12,株式会社TERASS | 【自分が主役】★実績＝自分の収入に★休みも労働時間も自由でOK,【不動産営業】★出社義務・ノルマなし★経験者募集/首都圏担当 業務委託,業務委託,100万円～3000万円
13,株式会社ベリサーブ | 関西限定募集★平均有給取得11.3日/賞与5.0カ月分(2021年度実績),【品質保証コンサルタント】※自動車・車載機器★年休124日 正社員,正社員,450万円～1000万円
14,株式会社ワールドコーポレーション | 【Nareru Group】設立以来、右肩上がりに成長中！賞与年2回,街づくりの【企画補助スタッフ】未経験歓迎／土日祝休※全国募集 正社員,正社員,350万円～500万円
15,日立建機日本株式会社 | 《40代モデル年収650万》働きやすさも◎年休129日・完休2日,建設業界の未来を変える。ICT機器導入を進める【技術サポート】 正社員,正社員,350万円～650万円
16,名鉄バス株式会社 | 年間休日121日以上/賞与3回/大型二種免許取得費用会社負担,未経験歓迎！普通免許取得1年で始められる【バス運転士】 正社員,正社員,300万円～450万円
17,株式会社ＫＯＧＡＯ | ★芸能人やモデルも多数来店 ★メディアで話題のSpeed小顔,【店舗スタッフ(受付等)】★平均月収30万円超え★ 正社員,正社員,350万円～600万円
18,インターギアソリューション株式会社 | ★固定報酬＋高額インセン★未経験平均月収55万円★当月払い可能,【求人広告電話営業】14名中3名が年収1千万円超の実績<全国採用> 業務委託,業務委託,480万円～2000万円
19,小山商事株式会社 | ☆毎日が定時退社♪ ☆月9日以上休み ☆実は稼げる ☆20代活躍中,auショップの【モバイルコミュニケーター】★正社員募集 正社員,正社員,
20,中日本ハイウェイ・エンジニアリング名古屋株式会社 | ＜高速道路を未来につなぐ＞年間休日130日～/資格取得支援制度有,NEXCO中日本グループ【 建築系技術職 】★賞与実績6か月分 正社員,正社員,490万円～600万円
21,株式会社ネオキャリア | 【大阪府緊急雇用対策に賛同】完全週休2日(土日)｜年間休日123日,最短で6ヵ月後に昇格が可能！求人広告の【営業】★残業少なめ 正社員,正社員,350万円～550万円
22,株式会社ネクステージ | 上場企業/Audiなどの正規ディーラーを展開/営業利益前年比200%UP,輸入車正規ディーラーの【セールススタッフ】★平均年収740万 正社員,正社員,400万円～800万円
23,株式会社サカイ引越センター | 【東証プライム上場】CMでおなじみ！8年連続売上・取引件数第1位,新生活への期待を運ぶ【ドライバー】※普通免許OK/月給25万円～ 正社員,正社員,350万円～500万円
24,テン・グループ・ジャパン株式会社 | コロナ禍でも安定成長中★完全週休2日制★最長1カ月の長期休暇有,【トラベルスペシャリスト】★旅行チケットの手配・発券等を担当 正社員,正社員,300万円～400万円
25,サンプラス株式会社 | 設立75年◆賞与平均2.8か月分 & 定期昇給平均年2.1％(各過去3年),地域のインフラを支える【配送スタッフ】転勤なし／残業月平均5h 正社員,正社員,250万円～350万円
26,株式会社ネクスコ・トール関東 | NEXCO東日本（東日本高速道路株式会社）グループ,無理なく働ける！高速道路の【料金所スタッフ】※年齢・経験不問 契約社員,契約社員,200万円～300万円
27,株式会社システムリサーチ | 全国採用始動！東証プライム上場 ◆未経験OK ◆年間休日122日,成長戦略拡充【ITエンジニア】★賞与実績5.7ヶ月分★定着率95％ 正社員,正社員,360万円～700万円
28,株式会社シンコーハイウェイサービス | 未経験OK★年収例:6年目690万円★警備業売上高-上位4％ 転勤なし,【総合職（計画立案/手配/管理）】賞与年3回◆昇給6回◆土日祝休 正社員,正社員,350万円～450万円
29,アクセンチュア株式会社 | 完全週休2日制(土日祝)で年間休日120日以上／充実の福利厚生アリ,福岡募集★未経験者も歓迎【 プロジェクト管理（PMO）】 正社員,正社員,400万円～1000万円
30,DSP株式会社 | 【完全週休2日】【年間休日115日～120日】【産休育休実績あり】,未経験歓迎！WEB集客の【プランナー】★土日祝休★残業ほぼなし 正社員,正社員,300万円～400万円
31,日鉄精鋼株式会社 | 日本製鉄（プライム市場上場：旧東証一部上場）グループ,未経験OK！【製造スタッフ】★土日休み／残業少なめ《沼津募集》 正社員,正社員,320万円～400万円
32,株式会社ワールドインテック | 【上場企業グループの安定性】＊賞与年2回＊年間休日125日＊,イチから設計スキルを学べる！【CADオペレーター】 ★未経験歓迎 正社員,正社員,350万円～700万円
33,株式会社アイエスエフネット | ★在宅勤務OK★受賞歴45個★平均残業7.8h★インセンMAX60％,(入社時)年収750万円⇒864万円にUP実績有【インフラエンジニア】 正社員,正社員,480万円～1000万円
34,ソフトバンク合同募集 | 【全員電話面談確約】,ソフトバンクの【ショップスタッフ(接客)】★エリア限定募集 正社員,正社員,300万円～400万円
35,実用春日ホーム株式会社 | <文京区に13店舗展開>残業ほぼなし★20～30代活躍中,平均月給35万円【不動産営業】未経験歓迎！説明会が「紙芝居」？ 正社員,正社員,350万円～1000万円
36,日立建機日本株式会社 | 年休129日/完全週休2日制/借上部屋・住宅手当など福利厚生充実,土日休み・未経験OK★建設機械の【整備士】※年収500万も現実的 正社員,正社員,380万円～550万円
37,日鉄精鋼株式会社 | 日本製鉄（上場企業）グループ【大阪府緊急雇用対策に賛同】,未経験OK！【製造スタッフ】★土日休み／残業少なめ《大阪募集》 正社員,正社員,
38,クムクム株式会社 | 【今注目のECサイト事業】*年休120日以上*原則定時退社*土日祝休,"働き方もスキルも""１UP""で楽しく――【事務系総合職】★未経験OK 正社員",正社員,300万円～600万円
39,中井エナジーテック株式会社 | 東京ガスのパートナー企業×定時退社OK×月収40万円超も可能！,育成前提！未経験でも着実に成長できる【技術スタッフ】関東募集 正社員,正社員,400万円～450万円
40,株式会社LAVA International | 20代女性活躍中＊5連休可＊産育休復帰95％＊住宅手当あり,業界No.1企業で”好き”を仕事に！【総合職】◎残業ほぼナシ 正社員,正社員,300万円～350万円
41,株式会社PGSホーム | 年収1000万超も可能｜未経験OK！月給40万円～スタート(2か月間),40代の未経験者も活躍中【＜住宅ペイント＞訪問営業】残業ほぼ０ 正社員,正社員,400万円～1000万円
42,株式会社ビロー | 複数店舗出店準備中！選べる100個の研修でキャリアUPも充実！,★新規出店予定◆完全週休2日制【店舗スタッフ】／残業ほぼ無し 正社員,正社員,300万円～400万円
43,アウトソーシンググループ合同募集 | ★東証プライム上場グループ／夜勤ナシで身体ラクラク♪,日勤専属！【ダイハツ工業の製造スタッフ】★大山崎町(株)PEO 正社員,正社員,340万円～370万円
44,株式会社J's Factory | コロナでも成長のチャンスを実感！モノづくりを支える企業,成長中の組織で活躍！【管理系総合職】★未経験～幅広く歓迎 正社員,正社員,350万円～700万円
45,株式会社アクロビジョン | 《社員ファースト企業》★高い定着率 ★福利厚生充実！,【人材コーディネーター】未経験から挑戦できるヒミツを大公開！ 正社員,正社員,320万円～900万円
46,三共アメニテクス株式会社 | リピートや紹介からの案件が8割以上♪　営業未経験でも安心◎,ご応募いただいた方全員面接します！【 営業 】※関東限定募集 正社員,正社員,350万円～400万円
47,ロイヤルハウジング株式会社 | 【創業48年ロイヤルグループ】昨対比売上150％以上！売上絶好調,100％反響【ルームアドバイザー】*経験者優遇*20代・30代活躍中 正社員,正社員,400万円～800万円
48,株式会社アール・ディベロップメント | 《定着率90%/有休消化率80%》立会物件の成約1件⇒インセン5万円,不動産契約を支える【営業・物件説明・引渡】残業月10h/完休2日 正社員,正社員,300万円～500万円
49,株式会社セラフ榎本 | 【1級45万円～◆2級40万円～】★入社時期相談OK★年齢不問で募集,《前職の年収保障》有資格者とは全員面接＆面接1回【施工管理】 正社員,正社員,500万円～800万円
50,株式会社トップ | 《トップHDグループ》33歳*月給例:月給29.1万円＋インセン＋賞与,＼岡山限定募集／ 【 提案営業 】※遠方応募OK！WEB面接も実施中 正社員,正社員,350万円～1000万円
51,タクミ建設株式会社 | 住宅手当・引越手当など手当充実！前給考慮で安心して働けます！,【施工管理スタッフ】◎年間休日123日◎完全週休2日(土日)定着◎ 正社員,正社員,350万円～600万円
52,株式会社ICSソリューションズ | 【駅チカ綺麗なオフィス／働きながら学べる環境／大手取引多数】,個性を伸ばしてマルチに活躍★【導入／運用サポート＆営業支援】 正社員,正社員,300万円～450万円
53,アウトソーシンググループ合同募集 | ★東証プライム上場グループ／精皆勤手当最大4万円支給♪,【組立・組付けスタッフ】土日休/年休121日★藤沢市(株)PEO 正社員,正社員,380万円～400万円
54,生和不動産保証株式会社 | 生和コーポレーショングループ | 大阪府緊急雇用対策に賛同,【不動産営業（賃貸仲介）】■歩合+賞与年2回■年休日118日 正社員,正社員,325万円～500万円
55,株式会社メイワスカイサポート | ANAパートナー企業！／新規ハンドリングスタート予定！！,ANAを間近でサポート！【グランドハンドリング】未経験OK！ 正社員,正社員,250万円～300万円
56,株式会社テクノプロ | テクノプロ・エンジニアリング社◇プライム市場グループ,未経験歓迎！大手企業中心【法人営業】★年間休日122日／土日休 正社員,正社員,400万円～500万円
57,株式会社元重建設 | 【働き方改革推進中】信頼性抜群/地域密着★案件は宇都宮市中心,誇れるモノづくりに挑戦する！【建築施工管理】★未経験OK 正社員,正社員,300万円～700万円
58,インターギアソリューション株式会社 | ◎完全リモートワーク！メール納品・全国どこでも勤務可能,【求人広告デザイナー】“採用を実現させる”クリエイティブ 業務委託,業務委託,150万円～500万円
59,株式会社プロサーチ | 希望勤務地への配属♪　残業ほぼなしでプライベートも充実！,未経験者歓迎★年間休日125日！【 施工管理アシスタント 】 正社員,正社員,330万円～900万円
60,株式会社ワールドコーポレーション | 【Nareru Group】設立以来、右肩上がりに成長中！賞与年2回,未経験から育てる【空間ディレクター】※各種手当充実／土日祝休 正社員,正社員,350万円～500万円
61,ダイナステージ株式会社 | 明るくオシャレなオフィス◎フレックスタイム導入☆残業ほぼなし,未経験歓迎！【総合職(営業/営業事務/広報/開発)】年休120日 正社員,正社員,
62,三陽工業株式会社 | 【設立以来の黒字経営×正社員採用×好きな場所で働く！】,【製造スタッフ】未経験OK★完全週休2日・土日祝休み★社宅あり 正社員,正社員,300万円～400万円
63,株式会社プラットイーズ | 放送局などの基幹システムや業務システムを自社で企画開発～保守,自社システムの企画開発～保守まで一貫対応！【ITエンジニア】 正社員,正社員,320万円～650万円
64,"サングローブ株式会社 | Web広告メガベンチャー/8期目で直取引20,000社以上/未経験OK",【完全反響Web提案営業】NEWオフィス★大型採用始動◎土日祝休み 正社員,正社員,550万円～3000万円
65,株式会社メイテック | 東証プライム上場／二輪車・EV・航空宇宙など最先端・先行開発も,レーシングカーや航空機等の【機械設計】40歳平均年収712万 正社員,正社員,400万円～800万円
66,株式会社ミュゼプラチナム | 全国に169店舗を展開する美容脱毛サロン／総合的な満足度No.1！,未経験OK【エステティシャン】学歴不問☆美容脱毛0円☆ノルマ無 正社員,正社員,350万円～450万円
67,アオイ工販株式会社 | 完休2日(土日祝)／年休120日 ／残業少なめ／創業50年超の安定感,既存顧客メイン！産業機械部品の【法人ルート営業】◆未経験OK！ 正社員,正社員,
68,株式会社ミュゼプラチナム | コスメ・美容好きさん必見！働きながらキレイになれる仕事★.*,【ビューティアドバイザー】賞与年4回◎★学歴不問♪未経験歓迎 正社員,正社員,350万円～450万円
69,株式会社トライトキャリア | 在宅勤務あり/年収600万円以上可能【大阪府緊急雇用対策に賛同】,完全土日祝休み！医療・福祉業界の【人材コーディネーター】 正社員,正社員,
70,株式会社ジェーシービー | 働きやすさバツグン！長く勤める女性が多いのも当社の特徴♪,【一般事務】女性活躍中！土日祝休み★1H単位の有給OK♪ 契約社員,契約社員,200万円～300万円
71,インターギアソリューション株式会社 | ★保有社数拡大に伴う案件増加★制作に必要な費用は会社が負担,コピーライティングを最高に楽しめる【求人広告ライター】 業務委託,業務委託,150万円～800万円
72,株式会社マブチ | 【創業60年以上の安定企業／国内36拠点、海外4カ国6拠点展開中】,世界を視野に活躍！【総合職（工場管理・設計・営業）】 正社員,正社員,350万円～550万円
