,企業名,キャッチコピー,ステータス,初年度年収
0,株式会社アイエスエフネット | 微経験(入社時)から年収276万UP実績★受賞歴45個★有給消化81％,在宅勤務OK【ITエンジニア】平均残業7.8h★経験者採用／高卒以上 正社員,正社員,360万円～1000万円
1,ケイアイスター不動産株式会社 | <東証プライム市場上場>★昨年も約30店出店★「くるみん」取得,売らないでいい!?【法人営業】未経験OK/完休2日/残業月平均20h 正社員,正社員,350万円～700万円
2,株式会社アイエスエフネット | ★在宅勤務OK★受賞歴45個★平均残業7.8h★インセンMAX60％,(入社時)年収750万円⇒864万円にUP実績有【インフラエンジニア】 正社員,正社員,480万円～1000万円
3,アウトソーシンググループ合同募集 | ★東証プライム上場グループ／お友達紹介で10万円支給♪,社宅費無料♪【自動車エンジンの製造スタッフ】★横浜市(株)PEO 正社員,正社員,340万円～370万円
4,アプライド マテリアルズ ジャパン株式会社 | 売上世界No.1の半導体製造装置メーカーの日本法人,全国募集【エンジニア・技術職】未経験歓迎◆高卒以上◆35歳以下 正社員,正社員,
5,アイアール株式会社 | ★完全週休2日制（土日祝） ★年間休日125日 ★超充実の福利厚生,休める！稼げる！楽しめる♪【施工管理アシスタント】★未経験OK 正社員,正社員,350万円～960万円
6,株式会社トップ | 《トップHDグループ》33歳*月給例:月給29.1万円＋インセン＋賞与,3人に1人は年収1000万円！【 提案営業 】*全国募集*経験者募集 正社員,正社員,350万円～1000万円
7,株式会社ワールドコーポレーション | 【Nareru Group】設立以来、右肩上がりに成長中！賞与年2回,街づくりの【企画補助スタッフ】未経験歓迎／土日祝休※全国募集 正社員,正社員,350万円～500万円
8,東日本住宅株式会社 | <50期連続で黒字経営の成長企業＆新店OPEN予定>★未経験者歓迎,＜創業以来50期連続黒字！＞完全反響型【営業】毎月インセンあり 正社員,正社員,350万円～700万円
9,DSP株式会社 | 【完全週休2日】【年間休日115日～120日】【産休育休実績あり】,未経験歓迎！WEB集客の【プランナー】★土日祝休★残業ほぼなし 正社員,正社員,300万円～400万円
10,株式会社フレックス | 大阪ガスグループ/黒字経営継続中/残業少なめ/毎年昇給＆賞与有,大阪・奈良限定募集＆転勤なし!【ライフアドバイザー】土日祝休 正社員,正社員,300万円～500万円
11,アウトソーシンググループ合同募集 | ★東証プライム上場グループ／食堂付きのクリーンな職場♪,健康＆貯金UP♪【豊田自動織機の製造スタッフ】★大府市(株)PEO 正社員,正社員,420万円～440万円
12,株式会社グランレブリー | InstagramやYouTubeでの情報発信により高い知名度を獲得,★お客様の理想を叶える★【建築設計】※育成枠採用｜未経験歓迎 正社員,正社員,300万円～800万円
13,大同生命保険株式会社 | ★業界経験一切不問 ★有給取得実績多数 ★転勤なし ★土日休み,基本17時退社★平均月給42.9万円【法人営業】※社会人経験者限定 正社員,正社員,
14,株式会社アイエスエフネット | ★在宅勤務OK★完全週休2日★平均残業7.8h★インセンMAX60％,月35万～【ITエンジニア】★有給消化81％★経験者採用／学歴不問 正社員,正社員,450万円～1000万円
15,住友不動産株式会社 | 東証プライム上場◆平均残業時間18時間◆転勤なし◆完全週休二日,第二新卒歓迎◆最高年収実績1100万円【新築分譲マンション営業】 正社員,正社員,400万円～500万円
16,株式会社ワールドコーポレーション | 【Nareru Group】設立以来、右肩上がりに成長中！賞与年2回,未経験から育てる【空間ディレクター】※各種手当充実／土日祝休 正社員,正社員,350万円～500万円
17,光電気工事株式会社 | ◆2019年新社屋完成　◆年収700万も目指せる　◆20～50代活躍中,転職者が多く活躍中！【総合職(施工管理・電気工事)】 正社員,正社員,300万円～650万円
